#,inicio,fin,sujeto
1,5.2,36.1,andres
2,3.5,41.13,ariana
3,5.6,37.13,carlos
4,9.25,41.0,dafne
5,8.10,28.9,hussein
6,4.30,31.40,jesus
7,6.0,39.19,jonathan
8,12.40,36.19,juan
9,6.75,33.06,olesky
10,23.19,28.99,rachel
